project_id,doc_link
H-015,https://docs.google.com/document/d/1mshmXLUQ60M_1lo38OrW_u3rBhaUNKD4RbWZZ_mN_QY/edit?usp=sharing
H-016,https://docs.google.com/document/d/1QzHpLDeFZYw9fN6-k_wUt5k0Uq-umOV25aBNbQq6hRk/edit?usp=sharing
H-017,https://drive.google.com/file/d/1RqHBcShCLnzvI89hERXP3YLTDlXaVt0Y/view
H-018,https://docs.google.com/document/d/1urrsZkv40kkoAZ3bDE0mqmcYtq_E-gxg2B8NWtAXZ4U/edit?usp=sharing
H-019,https://drive.google.com/file/d/1do4xi8kpLYLm6ZjOURMo0nHbbl-Jmw79/view?usp=sharing
H-020,https://docs.google.com/document/d/1jw6JqVUX3-eIZUvEAtAX84dF3gEg8UvoEuv0JvbZ_GY/edit?usp=sharing
H-021,https://docs.google.com/document/d/1nTPBIhPYT0xvd1-lPwgxgNXbbmTVEAEG1CqmoXCJ3X8/edit?usp=sharing
H-022,https://github.com/msehabibur/mic-hackathon-25/blob/main/DeepScan_Pro_2_pages.pdf
H-023,https://docs.google.com/document/d/1A6xqY_wvIKpTDOiNohBmS28Tijd4iARNRDkm8U00l5U/edit?usp=sharing
H-024,https://docs.google.com/document/d/1VF4t9EJQXxvEBt-boNDRfwc0kqAZsMq9tWxbKcfgsAI/edit?usp=sharing
H-025,https://docs.google.com/document/d/1Rb_M1DWOooa0BZcRa28d1fpTdn61fVtkakahHKE-XRs/edit?usp=sharing
H-026,https://docs.google.com/document/d/101AUgRwvCkjnQ96itdxaqAeimGr9GnLtxGfYvnn7B8A/edit?usp=sharing
H-027,https://docs.google.com/document/d/1xFQlNp1tngpRcv62JZLgLWNtQ4cDH-ABQO3huk3ZPdU/edit?usp=sharing
H-028,https://docs.google.com/document/d/16V7syL1Br6MEOSfZCSSCMTVa-QyzMyaH/edit?usp=drive_link&ouid=101268053338165049347&rtpof=true&sd=true
H-029,
H-030,https://docs.google.com/document/d/1mpFDMIvaiM23Dqfzc80LaBVJ7HHKwHcWrds-CD6_pCs/edit?usp=sharing
H-031,https://docs.google.com/document/d/1hDD7s13SyzHmhY1URIpNmok3EzKHACH2xAQwkNvrUyg/edit?usp=sharing
H-032,https://docs.google.com/document/d/1KwB881--Xqerfyj83lflEXIcy2dX_s9HM0zpN9xcz_4/edit?usp=sharing
H-033,https://docs.google.com/document/d/1mgjhfytcjHxf3estFKxJL3uKp9YZLSLXRnigQ5nZFKg/edit?usp=sharing
H-034,https://docs.google.com/document/d/11PZmLfFj22z8KsizAK9WNBHkICG0exM2/edit?usp=sharing&ouid=109232899191980630601&rtpof=true&sd=true
H-035,https://docs.google.com/document/d/1BmRNekcRGZjY1-ZR0IXE2ZdCNY-tiqNqdck5lRrNBI8/edit?tab=t.0
H-036,https://docs.google.com/document/d/1ELCuA8Xl4L0Km4OxdFImcSx7thKB6ioY/edit?usp=sharing&ouid=103473171169732396863&rtpof=true&sd=true
H-037,https://docs.google.com/document/d/1CYPCTtVeDHB20HsyZugewUe7zMkFyqYE/edit?usp=sharing&ouid=105833399215894808637&rtpof=true&sd=true
H-038,https://docs.google.com/document/d/1gJHKv-SAp8OHMRyoJTNsb1JZD6PUw3IgvovX_-JK9VE/edit?tab=t.0
H-039,https://docs.google.com/document/d/19KnXmekvHuGerTKrD97XD6kCwTX7BN8U/edit?usp=drive_link&ouid=109695177183949100922&rtpof=true&sd=true
H-040,https://drive.google.com/file/d/1Vu3J3WCdstnEIfhJVN1Xk9q5NHgixI2s/view?usp=sharing
H-041,https://lunduniversityo365-my.sharepoint.com/:w:/g/personal/le7714ol_lu_se/IQDW20QbAf4UQ59bdMNzbBSQAVPPPw4U2ZIqjMf3ljBgYSk?e=GGimOe
H-042,https://docs.google.com/document/d/1eJN_KIcTR4Eho4GCooGZVNyJcsdXWPXi54iYRKaBon4/edit?usp=sharing
H-043,https://drive.google.com/file/d/1nFrG6FeXXmRTi3v34puIb-ZXY5m31t3P/view?usp=drive_link
H-044,https://docs.google.com/document/d/12ZfcpCcIlAKNN6fwS3EhXV7SQ33ndaybNdqvGwYknCM/edit?usp=sharing
H-045,https://docs.google.com/document/d/116ud4bGBRN63J_CeuZKXR9mscfV2Qz21/edit?usp=sharing&ouid=107260932231556421189&rtpof=true&sd=true
H-046,https://drive.google.com/file/d/1rSAqAA9ELSgHKUNI-7hCtJNQGzEcJZUA/view?usp=drive_link
H-047,https://kfupmedusa-my.sharepoint.com/:b:/g/personal/g202103630_kfupm_edu_sa/IQBk71guBEU3RYOuJcJXntvtAfsS55XA8SrX1bJaJ9Ym1Ao?e=BSzqvW
H-048,https://docs.google.com/document/d/1wk2ZN_3dVyXhfCYA7atOCuQ6rkJ_S24b9ZyX4l1tyzg/edit?tab=t.0
H-049,https://docs.google.com/document/d/1uzzvUfNddSqpW4SeCynyxJee-j7L2JWOtTURQJP75Zs/edit?usp=sharing
H-050,https://drive.google.com/drive/folders/1Az6LOXvCtsqW4VAzkQu1RRk7tN2y63L6?usp=sharing
H-051,https://docs.google.com/document/d/1TWxLzRUCvqmXhM8edVJ1Mz4boBzygOwKR0qSr_yRvjM/edit?usp=sharing
H-052,https://docs.google.com/document/d/1YXaohwZXhguwOZUFQCYimKDD8vGxySm6t3louztoQvw/edit?usp=sharing
H-053,https://docs.google.com/document/d/17h-ztiT6jK0tJr4ahOrKZHzCWUNTYDt1q6c0Kem3pFk/edit?tab=t.0
H-054,https://docs.google.com/document/d/1ubccqH-xO0-R8kp0GktkO2zZcfYFXDAvnPAzXpvpIUw/edit?usp=sharing
H-055,https://docs.google.com/document/d/1_Lcg9gxXpHDypy2Wj_ExtY8Y1Up0sVLg/edit?usp=sharing&ouid=107279992016487024370&rtpof=true&sd=true
H-056, https://docs.google.com/document/d/1GofIOMvoPMyXc7M4TIf0lLgjuUwRJeRT/edit?usp=sharing&ouid=111010596522737539814&rtpof=true&sd=true
H-057,https://docs.google.com/document/d/10b-eXzlpd9kBK7Lm7N3-L-qKdpy-V1kr/edit?usp=sharing&ouid=115818706633845412936&rtpof=true&sd=true
H-058,https://docs.google.com/document/d/1QMgEvitGiCitKYLowD5hzd-rKptU79sA2nwqaw8ff2s/edit?usp=sharing
H-059,https://docs.google.com/document/d/1mEx-MCwJ7kStA-FQM6s6MkEARsndSjD1FdHDKVAeUlU/edit?usp=sharing
H-060,https://drive.google.com/drive/folders/1a3y4Q8rzMo1XgGZZUuyWBGZCWRY3cBIy?usp=drive_link
H-061,https://docs.google.com/document/d/1ODsQM9gSWKq_NgCHccKcudZIJxGluCDlUr1XmUUyT8I/edit?usp=sharing
H-062,https://docs.google.com/document/d/1DQpjQGe8QfRz8nQrJTQsczuB4Di3s0V09CPxSOcrIEY/edit?usp=sharing
H-063,https://drive.google.com/file/d/1ODP2wW0J87imdIfkiVdEo7whU_SXSxt8/view?usp=drive_link
H-064,https://docs.google.com/document/d/1bHefdCF3I6p6G0BU7LfxV4ykWR20JqAiX8G8kZBXi5Y/edit?tab=t.0#heading=h.f6i2vjaypmr2
H-065,https://uofi.box.com/s/4v2jqxffobtf061kabl76qb13bik80pe
H-066,https://drive.google.com/file/d/15JSY2cTtRQJEA_edUGg4QazSUNO5J5kK/view?usp=drive_link
H-067,https://docs.google.com/document/d/1iojZagnh4oDS_sIn0nf5UFqRlehbR1c9R5MlRc5yhq8/edit?usp=sharing
H-068,https://docs.google.com/document/d/1MYFuEkLLAePVujy-lrl0OXEuzmurAOIS_aSf1YrQljM/edit?tab=t.0
